테스트,Test
위장-영전,
대응 저격-영전,
광폭화-테스트-스나이퍼-영전,
중 기관총 사격-영전,
영거리 중 기관총-영전,
노즐 강화-영전,
광폭화-테스트-패트릭-영전,
직사 포격-영전,
2연장 곡사포-영전,
고폭 충격탄-영전,
2연장 곡사포 (착탄)-영전,
광폭화-테스트-캐노니어-영전,
폐기물 파쇄-영전,
폐기물 수집-영전,
초합금 플레이팅-영전,
광폭화-테스트-탱크-영전,
레일건 저격으로 {0} 피해를 주고 공격이 적중 시 높은 확률로 2라운드 동안 행동 불가 상태가 됩니다.,
리액터 충전,
매 라운드마다 리액터가 충전이 되어 방어 관통 효과가 증가하지만 4 중첩을 넘을 경우 리액터 초기화 상태가 되어 모든 강화 효과가 해제되고 1라운드 동안 행동 불가 상태가 됩니다.,
리액터 충전 더미,
공격 대상의 HP가 낮을수록 주는 피해가 증가합니다.,
리액터 과충전,
전기 공격에 피격 당할 시 2라운드 동안 공격력이 대폭 감소하고 적용 중인 리액터 충전 효과를 해제 합니다.,
"적 들을 강타해 {0} 피해를 주고, 1칸 뒤로 밀어내며 일정 확률로 2라운드 동안 행동 불가 상태로 만들고 속성을 흡수한 상태라면 대상에게 해당 속성을 방출하여 지속 피해를 줍니다.",
후려치기(화염),
후려치기(냉기),
후려치기(전기),
오염액,
"오염액으로 목표 대상들에게 {0} 피해를 주며, 2라운드 동안 오염 상태로 만듭니다. 오염 상태인 대상은 방어력과 행동력이 감소하며, 지속 물리 피해를 입습니다. 보호 효과를 무시합니다.",
오염액 누출,
"HP가 50% 이하가 되면 오염액이 누출되어 적군 전체의 화염,냉기,전기 속성 저항력을 감소시킵니다.",
오염액 누출 더미1,
오염액 누출 더미2,
오염액 누출 더미3,
보호 본능,
적에게 공격 당할 시 속성 흡수 부작용 효과를 제외한 자신에게 걸려있는 해로운 효과를 해제 합니다.,
속성 흡수,
"속성 공격에 피격 시 3라운드 동안 해당 속성을 흡수하여 해당 속성의 저항력이 증가하지만 부작용으로 특정 속성의 저항력이 대폭 감소합니다.
화염 속성 흡수 시: 화염 저항력 소폭 증가, 냉기 저항력 대폭 감소
냉기 속성 흡수 시: 냉기 저항력 소폭 증가, 전기 저항력 대폭 감소
전기 속성 흡수 시: 전기 저항력 소폭 증가, 화염 저항력 대폭 감소",
속성 흡수(냉기),
속성 흡수(전기),
속성 흡수(자폭),
속성 흡수 부작용(화염),
속성 흡수 부작용(냉기),
속성 흡수 부작용(전기),
회심의 반격,
회심의 반격 준비 태세를 갖춘 상태에서 회피 시 적에게 괴멸적인 피해량으로 반격을 합니다. 회심의 반격 준비 태세가 종료된 후 다음 1라운드 동안 회피율은 그대로 유지 됩니다.,
회심의 반격 준비 태세를 갖춘 상태에서 회피 시 적에게 괴멸적인 피해량으로 반격을 하고 회심의 반격 준비 태세가 종료된 후 다음 1라운드 동안 회피율이 그대로 유지 됩니다.,
흥분,
피격 당할 시 흥분 상태에 빠져 3라운드 동안 공격력이 증가하고 5중첩 이상이 될 시 2라운드 동안 회심의 반격 준비 태세(회피율 대폭 상승)를 갖춥니다.,
흥분 더미,
흥분 진정,
냉기 공격에 피격 당하거나 반격 준비 태세를 갖출 시 적용 중인 흥분 상태가 해제 됩니다.,
흥분 진정 더미,
흥분 진정 더미2,
지원 프로토콜,
"경계 상태로 라운드 개시 시, 2라운드 동안 일정 확률로 아군 철충들의 공격을 지원합니다.",
"지정 범위에 {0} 피해를 줍니다. 대상이 행동 불가 상태면 피해량이 크게 증가하며, 해제 불가 행동 불능 효과를 부여합니다.",
파괴 본능,
"아군이 사망 시 파괴 본능에 빠져
해당 라운드에는 행동 불가 상태가 되고,
3라운드 동안 방어 관통력 / 공격력이 대폭 증가 합니다.
파괴 본능이 적용된 상태에서 속성 공격에 피격 시 높은 확률로 해당 라운드에는 행동 불가 상태에 빠지게 됩니다.",
파괴 본능(화염),
파괴 본능(냉기),
파괴 본능(전기),
최대 출력 암,
최대 출력 왓쳐,
"에너지 충전이 4중첩 이상이면, 공격할 때 방어막과 피해 감소 효과를 무시합니다.",
시스템 복원,
에너지 충전에 적용 중인 상태에서 자신의 HP가 30% 이하일 경우 HP를 회복하고 전투를 속행을 합니다.,
공격자 삭제 (킬 더미),
공격자 삭제 (킬 더미 2),
스텔스 코팅 (전열),
해충 처리 (킬 더미),
알비스 출동!,
"기관단총으로 {0} 피해를 주고, 2라운드 동안 대상을 도발 / 공격력 / 치명타 / 행동력 감소 상태로 만듭니다.",
지정 대상 {0} 피해. 도발 / 공격력 / 치명타 / 행동력 감소,
뭉게뭉게!,
"연막을 퍼트려 3라운드 동안 범위내 아군의 회피를 상승시키고, 받는 피해 / 사거리를 감소시킵니다. 자신에게는 효과가 50% 증가하며, 스킬 레벨 10에서 범위가 증가합니다.",
지정 범위 아군 회피 증가. 받는 피해 / 사거리 감소. 자신에겐 50% 추가 적용,
못 지나갈걸?,
"범위 내 경장형 공격기 / 지원기를 보호하고, 전투 개시 시 보호 대상들의 AP를 올려줍니다. 라운드 개시 시, 자신의 방어력과 냉기 저항이 증가합니다.",
지정 범위 경장 공격 / 지원기 보호 / AP 증가. 자신 방어력 / 냉기 저항 증가,
뭉게뭉게! (피감 더미),
뭉게뭉게! (사감 더미),
여긴 못 지나가! (방어력 더미),
디스크 봄,
"디스크 봄으로 {0} 방어 관통 피해를 줍니다. 대상이 경장 / 중장형인 경우, 피해량이 증가합니다. 치명타 시, 대상의 방어력 강화 효과를 해제합니다.",
"지정 대상 {0} 방어 관통 피해. 경장 / 중장 피해량 증가. 치명타 시, 방어력 증가 해제",
표적 스캔,
"대상에게 {0} 보호 무시 피해를 주고, 2라운드 동안 표식 / 받는 피해 증가 상태로 만듭니다. 치명타 시, 회피 강화 / 피해 감소 효과를 해제합니다. 스킬 레벨 당 +30%의 적중 보정이 적용됩니다.",
"지정 대상 {0} 보호 무시 피해. 표식 / 피해 증폭 / 치명타 시, 회피 강화 / 피해 감소 효과 해제",
포격 관측,
"자신의 공격 적중 시, 범위 내 중장형 공격기의 AP를 올려주고 3라운드 동안 공격력 / 적중을 상승시킵니다. 스킬 레벨 10에서 범위가 증가합니다.",
"공격 적중 시, 범위 내 중장형 공격기 AP / 공격력 / 적중 증가",
디스크 봄 (방관 더미),
디스크 봄 (방어 해제),
표적 스캔 (피증 더미),
표적 스캔 (해제 더미),
포격 관측 (공격 더미),
포격 관측 (적중 더미),
요격 보조 버프 더미 Lv.1,
요격 보조 버프 더미 Lv.2,
요격 보조 버프 더미 Lv.3,
요격 보조 버프 더미 Lv.4,
요격 보조 버프 더미 Lv.5,
요격 보조 버프 더미 Lv.6,
요격 보조 버프 더미 Lv.7,
요격 보조 버프 더미 Lv.8,
요격 보조 버프 더미 Lv.9,
요격 보조 버프 더미 Lv.10,
요격 보조 버프 더미 Lv.11,
침입자 추적,
"체인 블레이드로 {0} 피해를 줍니다. 공격 적중 시, 2라운드 동안 대상을 도발 / 방어력 / 회피 감소 상태로 만듭니다. 치명타 시, 피해량이 증가합니다.",
"지정 대상 {0} 피해. 도발 / 방어력 / 회피 감소. 치명타 시, 피해량 증가",
글레이프닐 해제,
"구속구를 해제한 후, 지정 대상에게 {0} 피해를 주고 대상 뒤에 50% 피해를 줍니다. 치명타 시, 피해량이 증가하며 자신의 현재 HP%가 낮을수록 위력이 증가합니다.",
"지정 범위 {0} 피해. 치명타 시, 피해량 증가. 자신 HP 낮을수록 위력 증가",
영역 순찰,
"전투 개시 시, 열 보호와 전투 속행 효과가 활성화되며, 자신이 적 처치 시 AP가 증가합니다.",
"열 보호 / 전투 속행. 적 처치 시, AP 증가",
야성 본능,
"공격력이 증가하며 받는 피해가 감소합니다. HP 50% 이하 시, 효과가 50% 증가합니다.",
"공격력 / 받는 피해 감소. HP 50% 이하 시, 효과 증가",
배로 갚아주마!,
"피격 시, AP가 증가하며 반격합니다. 전투 속행 발동 시, 회피가 증가하며 방어막 / 피해 감소 효과를 무시하지만 열 보호가 해제됩니다.",
"피격 시, AP 증가 / 반격. 전투 속행 시, 방어막 / 피해 감소 무시 / 회피 증가",
글레이프닐 해제 (더미),
영역 순찰 (AP 증가),
영역 순찰 (도시락),
야성 본능 (50% 이하),
침입자 추적 (크리),
배로 갚아주기 (속행 효과),
배로 갚아주기 (반격),
징벌,
"지정 대상에게 {0} 보호 무시 피해를 주고, 2라운드 동안 대상을 표식 / 받는 피해 증가 / 효과 저항 감소 상태로 만듭니다. 치명타 시, 피해량이 증가하며 대상의 강화 효과를 해제합니다.",
"지정 대상 {0} 보호 무시 피해. 표식 / 피해 증폭 / 효과 저항 감소. 치명타 시, 피해량 증가 / 강화 해제",
기원,
"아군에게 적용 중인 해로운 효과를 해제하고, 2라운드 동안 효과 저항을 올려줍니다. 자신의 지휘 효과를 받는 아군은 AP가 증가합니다. 스킬 레벨 10에서 자신의 위치와 무관하게 아군 영역 전체에 적용됩니다.",
해로운 효과 해제 / 효과 저항 증가. 자신의 지휘를 받는 아군은 AP 증가,
공격대 지휘,
"범위 내 공격기에게 공격력 증가 효과를 주며, 자신이 장착한 대 타입 피해량 증가 장비에 따라 대 타입 피해량을 올려줍니다. 스킬 레벨 10에서 범위가 증가합니다.",
공격기 공격력 증가. 자신이 장비한 대 특정 타입 효과를 부여,
경호대 지휘,
"범위 내 보호기에게 받는 피해 감소 / 회피 증가 효과를 주며, 자신에게 적용된 속성 저항 강화 효과에 맞춰 대상들의 속성 저항력을 올려줍니다. 스킬 레벨 10에서 범위가 증가합니다.",
보호기 받는 피해 감소 / 회피 증가. 자신에게 적용된 속성 저항 효과를 부여,
예지,
"다음 출현하는 적을 확인할 수 있으며, 모든 적의 방어력 / 적중 / 회피 / 행동력이 감소합니다. 정찰 활성화 상태인 경우, 대상들에게 받는 피해 증가 효과가 추가로 적용됩니다.",
정찰 기능. 모든 적의 방어력 / 회피 / 적중 / 행동력 감소,
징벌 (치명타 더미),
계시 (효과 해제),
공격대 지휘 (경장),
공격대 지휘 (기동),
공격대 지휘 (중장),
경호대 지휘 (화염),
경호대 지휘 (냉기),
경호대 지휘 (전기),
예지 (정찰),
징벌 (효과 저항 더미),
예지 (강화),
이동형 반물질 역장 (해제),
배로 갚아주기 (열 보호 해제),
스토킹 (적중 감소 더미),
칙 방패 강타,
"대상에게 {0} 피해를 주고, 2라운드 동안 도발 / 공격력 / 치명타 감소 상태로 만듭니다.",
칙 보호 개시,
"지정 아군의 AP를 상승시키고, 3라운드 동안 대상을 지정 보호합니다.",
칙 방어 대형,
"라운드 개시 시, 받는 피해가 감소하며 속성 저항력이 증가합니다.",
약점 스캔,
"목표를 공격 대상으로 지정해 {0} 피해를 주고, 2라운드 동안 표식 / 받는 피해 증가 / 회피 감소 상태로 만듭니다. 적중 대상은 회피 강화 효과가 해제됩니다. 자신은 3라운드 동안 회피가 증가합니다.",
강화 섬광탄,
"지정한 위치에 섬광탄을 발사해 {0} 피해를 주고, 2라운드 동안 적중 / 치명타를 낮춥니다. 적중 대상은 AP가 감소합니다.",
경보 레이더,
"전투 개시 시, 모든 아군의 AP / 적중 / 치명타 / 사거리가 증가합니다. 냉기 속성 액티브 스킬 피격 시 아군의 적중 / 치명타 / 사거리 증가 효과가 해제되며, 2라운드 동안 아군들의 적중 / 치명타가 감소합니다.",
레이더 교란,
"전투 개시 시, 모든 적군의 AP / 적중 / 치명타 / 사거리가 감소합니다. 냉기 속성 액티브 스킬 피격 시 적에게 건 적중 / 치명타 / 사거리 감소 효과가 해제되며, 9라운드 동안 적들의 적중 / 치명타가 증가합니다.",
약점 스캔 (회피 증가),
강화 섬광탄 (AP 감소),
경보 레이더 (냉기 피격),
레이더 교란 (냉기 피격),
히트 머신건,
"대상에게 {0} 화염 속성 피해를 주고, 50% 확률로 최대 3회까지 화염 저항을 감소시킵니다. 치명타 시, 대상의 피해 감소 효과를 해제합니다.",
자폭 개시,
자폭해 지정 범위에 {0} 화염 속성 피해를 줍니다. 대상의 방어막 / 피해 감소 효과를 무시합니다.,
내부 과열,
"공격 시, 과열 상태가 되어 공격력이 증가합니다. 3중첩 이상 시, 회피가 증가하지만 지속 고정 피해를 입습니다. 적의 공격을 회피하면 2라운드 동안 적중이 증가합니다.",
과열 폭발,
"<내부 과열> 3중첩 이상 상태에서 사망 시, 주변에 괴멸적인 고정 피해를 줍니다.",
히트 머신건 (크리),
자폭 개시 (자폭),
내부 과열 (지속 피해),
경보 레이더 (더미),
"전투 개시 시, 모든 아군의 AP / 적중 / 치명타 / 사거리가 증가합니다. 전기 속성 액티브 스킬 피격 시 아군의 적중 / 치명타 / 사거리 증가 효과가 해제되며, 2라운드 동안 적중 / 치명타가 감소합니다.",
레이더 교란 (더미),
"전투 개시 시, 모든 적군의 AP / 적중 / 치명타 / 사거리가 감소합니다. 전기 속성 액티브 스킬 피격 시 적중 / 치명타 / 사거리 감소 효과가 해제되며, 2라운드 동안 적중 / 치명타가 증가합니다.",
내부 과열 (회피 시 적중),
강화 섬광탄 (치명 감소),
내부 과열 (회피 증가),
수정구 버프 더미 Lv.1,
수정구 버프 더미 Lv.2,
수정구 버프 더미 Lv.3,
수정구 버프 더미 Lv.4,
수정구 버프 더미 Lv.5,
수정구 버프 더미 Lv.6,
수정구 버프 더미 Lv.7,
수정구 버프 더미 Lv.8,
수정구 버프 더미 Lv.9,
수정구 버프 더미 Lv.10,
수정구 버프 더미 Lv.11,
일렉 제네 버프 더미 Lv.1,
일렉 제네 버프 더미 Lv.2,
일렉 제네 버프 더미 Lv.3,
일렉 제네 버프 더미 Lv.4,
일렉 제네 버프 더미 Lv.5,
일렉 제네 버프 더미 Lv.6,
일렉 제네 버프 더미 Lv.7,
일렉 제네 버프 더미 Lv.8,
일렉 제네 버프 더미 Lv.9,
일렉 제네 버프 더미 Lv.10,
일렉 제네 버프 더미 Lv.11,
일렉 제네 버프 더미 Lv.12,
일렉 제네 버프 더미 Lv.13,
일렉 제네 버프 더미 Lv.14,
일렉 제네 버프 더미 Lv.15,
일렉 제네 버프 더미 Lv.16,
일렉 제네 버프 더미 Lv.17,
일렉 제네 버프 더미 Lv.18,
일렉 제네 버프 더미 Lv.19,
일렉 제네 버프 더미 Lv.20,
일렉 제네 버프 더미 Lv.21,
리사이클 버프 더미 Lv.1,
리사이클 버프 더미 Lv.2,
리사이클 버프 더미 Lv.3,
리사이클 버프 더미 Lv.4,
리사이클 버프 더미 Lv.5,
리사이클 버프 더미 Lv.6,
리사이클 버프 더미 Lv.7,
리사이클 버프 더미 Lv.8,
리사이클 버프 더미 Lv.9,
리사이클 버프 더미 Lv.10,
리사이클 버프 더미 Lv.11,
리사이클 버프 더미 Lv.12,
리사이클 버프 더미 Lv.13,
리사이클 버프 더미 Lv.14,
리사이클 버프 더미 Lv.15,
리사이클 버프 더미 Lv.16,
리사이클 버프 더미 Lv.17,
리사이클 버프 더미 Lv.18,
리사이클 버프 더미 Lv.19,
리사이클 버프 더미 Lv.20,
리사이클 버프 더미 Lv.21,
경량화 디버프 더미 Lv.1,
펌킨~봄,
"호박을 던져 대상에게 {0} 화염 피해를 주고, 2라운드 동안 표식 / 받는 피해 증가 / 화염 저항 감소 상태로 만듭니다. 적중 대상의 피해 감소 효과를 해제합니다.",
단일 대상 {0} 화염 피해. 표식 / 피해 증폭 / 화염 저항 감소 / 피해 감소 해제,
패밀리어 소환!,
"지정 범위에 {0} 피해를 주고, 2라운드 동안 적중을 감소시키며 적중 강화 효과를 해제합니다. 적중 대상은 해당 라운드 동안 스킬을 사용하지 못합니다. 스킬 레벨 10에서 범위가 증가합니다.",
지정 범위 {0} 피해.  적중 / 적중 강화 해제 / 스킬 사용 불가,
쭉~들이키세요~,
"전투 개시 시, 인접 바이오로이들에게 마실 것을 줘 대상들의 공격력 / 회피 / 행동력을 증가시키지만 적중이 감소합니다. 해당 효과들은 장비와 동일한 기타 효과로 분류됩니다.",
인접 바이오로이드 공격력 / 회피 / 행동력 증가 / 적중 감소 (장비 효과 판정),
오늘의~운세는~,
"라운드 개시 시, 자신의 적중 / 회피가 증가하며 다음에 출현할 적을 확인할 수 있습니다. 정찰 활성화 시, 해당 효과가 50% 추가 적용됩니다.",
"자신의 적중 / 회피 증가. 정찰 기능. 정찰 활성화 시, 효과 50% 증가",
오늘의 운세는~ (증폭),
오늘의 운세는~ (수정구),
오늘의 운세는~ (정찰),
이단 지정,
"사격으로 대상에게 {0} 피해를 주고, 2라운드 동안 표식 / 받는 피해 증가 / 회피 감소 상태로 만듭니다.",
집행 개시,
"지정 범위에 {0} 보호 무시 피해를 줍니다. 대상이 표식 / 받는 피해 증가 상태면, 피해 감소 효과를 해제하며 피해량이 증가합니다.",
지정 범위 {0} 피해. 표식 / 피해 증폭 대상 피해 감소 해제 / 피해량 증가,
그림자 대리인,
"행 / 열 보호 상태인 아군의 공격을 지원하며, 자신의 액티브 스킬 공격이 적중하면 대상들의 AP가 증가합니다. 대상이 아자젤인 경우, 매 라운드 AP를 증가시켜줍니다.",
"행 / 열 보호 아군 공격 지원. 액티브 스킬 공격 적중 시, 대상들의 AP 증가",
최후의 성전,
"자신의 HP%가 낮을수록 피해량이 증가하며, 적 처치 시 최대 3회까지 공격력 / 적중 / 행동력이 증가합니다. 자신이 전투 불능이 될 경우, 표식 상태인 적에게 공격에 비례한 고정 피해를 줍니다.",
"자신 HP% 낮을수록 피해량 증가. 적 처치 시, 공격 능력 증가. 전투 불능 시, 표식 대상에게 고정 피해",
영역 순찰 (열 보호),
그림자 대리인 (개시 AP),
그림자 대리인 (아자젤 AP),
그림자 대리인 (아자젤 반격),
최후의 성전 (자신 HP 반비례),
최후의 성전 (처치 공격력),
이단 지정 (피해 증폭 더미),
최후의 성전 (처치 적중),
최후의 성전 (처치 행동력),
에너지 추출(아군 죽임),
<에너지 고갈> 상태에 빠져있을 시 주변 철충에게서 에너지를 추출합니다. 그리고 에너지를 추출 당한 철충은 죽음을 맞이 합니다.,
"내부에 저장된 막대한 에너지를 모아, 범위 내 적들에게 {0} 보호 무시 피해를 주는 죽음의 에너지를 방사합니다. 피격 당한 적은 해제 불가의 지속 물리 피해를 입습니다.",
<죽음의 에너지> 스킬을 사용 시 막대한 에너지를 소비하게 되어 <에너지 고갈> 상태에 빠지게 됩니다. <에너지 고갈> 상태에 빠지게 되면 주위 철충에게서 에너지를 추출하여 손실된 에너지를 보충합니다. 손실된 에너지가 보충이 되면 <에너지 완충> 상태가 되어 피해가 최소화 되고 해로운 효과에 면역이 됩니다.,
에너지 완충 삭제,
에너지 흡수,
"에너지 추출 시, 온 신경을 흡수에만 집중해 2라운드 동안 행동을 정지합니다. 해당 상태에선 방어력이 감소하며, 받는 피해가 증가합니다. 30% 확률로 특정 속성 저항력이 감소합니다.",
라운드 개시 시 자신에게 <에너지 고갈> 상태가 3중첩이라면 <폭주> 상태에 빠지게 되어 공격력 / 적중 / 효과 저항이 증가하지만 방어력이 감소합니다. <에너지 고갈> 상태가 5중첩이라면 보호막과 피해 감소 효과를 무시 합니다. <폭주> 능력은 중첩이 되며 해제 불가입니다.,
지정 범위에 {0} 피해를 주고 대상들에게 처형 낙인 효과를 적용시키며 낮은 확률로 방어막 / 피해 감소 효과를 무시합니다.,
"지정 범위에 {0} 보호 무시 피해를 주고 추가 화염 피해를 주며, 대상에게 걸려있는 강화 효과를 해제합니다.",
<최후의 힘>이 적용돼 있을 시 매 라운드마다 바이오로이드들에게 공포심을 심어 일정 확률로 공격력 / 방어력 / 회피율 능력들을 대폭 감소시키고 낮은 확률로 1라운드 동안 행동 불가 상태로 만듭니다.,
공포2,
공포3,
공포4,
처형 개시 스킬에 피격 당한 적은 3라운드 동안 해제 불가의 방어력이 감소하는 처형 낙인 효과가 적용됩니다.,
처형 개시(특수),
불멸∙최후,
"<불멸의 힘>으로 인해 불멸, 불멸의 대가가 적용됩니다. 불멸이 발동 시 사라져가는 불멸이 적용되고 3중첩 시 불멸의 힘이 사라지고 <최후의 힘>이 발동됩니다.
<최후의 힘>이 발동 시 2라운드 동안 피해가 최소화 되며 피격 시 해로운 효과 해제, 매 라운드마다 일정 확률로 공격력 / 방어력 / 적중률 / 방어 관통 효과 / 속성 저항 능력들이 증가됩니다. 불멸과 최후의 힘으로 발동되는 능력들은 해제 불가합니다.

불멸 : 죽지 않습니다.    불멸의 대가 : 자신의 공격력이 대폭 감소합니다.",
불멸,
최후의 힘(속성저항),
불멸 삭제(스쿼드변경),
히트 머신건-영전2,
"대상에게 {0} 화염 속성 피해를 주고, 50% 확률로 최대 3회까지 화염 저항을 감소시킵니다.",
자폭 개시-영전2,
<자폭 준비 완료>가 적용되 있는 상태라면 목표 대상에게 {0} 화염 속성 피해를 주고 자폭합니다. 대상의 방어막 / 피해 감소 효과를 무시합니다.,
자폭 준비-영전2,
스스로 자폭을 하기 위해 매 라운드마다 일정 확률로 내부를 과열하여 자폭 준비를 합니다. 자폭 준비가 3중첩이 될 시 <자폭 준비 완료> 상태가 되어 자폭을 실행 합니다.,
자폭 준비 완료-영전2,
자폭 준비 제거-영전2,
내부 과열 냉각-영전2,
냉기 공격에 피격 시 내부 과열 상태를 해제 합니다. 하지만 이미 <자폭 준비 완료>가 된 상태라면 자폭을 막을 수 없습니다.,
대 장갑 블레이드,
"대상에게 {0} 피해를 줍니다. 대상이 경장형이거나 치명타 시, 피해량이 증가합니다. 2라운드 동안 대상의 방어력을 감소시키며, 보호기면 받는 피해 증가가 추가됩니다.",
"단일 대상 {0} 피해. 경장형 / 치명타 시, 피해량 증가. 방어력 감소 / 받는 피해 증가 (보호기)",
풀 웨폰 어썰트,
"대상에게 {0} 피해를 줍니다. 대상의 방어막 / 피해 감소 효과를 무시하며, 대상이 중장형이거나 치명타 시 피해량이 증가합니다. 스킬 사용 시, 자신의 공격력에 비례한 고정 피해를 입습니다.",
"단일 대상 {0} 피해. 중장형 / 치명타 시, 피해량 증가. 방어막 / 받는 피해 감소 무시. 자신에게 고정 피해",
간파,
"적을 공격하면 공격력이 최대 3회까지 증가하며, 2라운드 동안 회피가 증가합니다. 해당 상태에서 공격 받으면 반격합니다. 공격력 증가 효과는 피격 시 해제됩니다.",
"적 공격 시, 회피 / 공격력 증가. 해당 효과 상태에서 공격 받으면 반격",
쐐기대형,
"범위 내 기동형 아군들의 치명타 / 적중 / 행동력이 증가합니다. 자신이 전열일 때 최대로 적용되며, 뒷열에 배치될수록 효과가 50%까지 감소합니다.",
기동형 아군 치명타 / 적중 / 행동력 증가 (전열에서 최대),
우회 공격,
"자신의 방어 관통이 증가하며, 정찰로 다음에 출현할 적을 확인할 수 있습니다. 정찰 활성화 상태로 라운드 개시 시, 회피 / 적중 / 행동력이 증가합니다.",
"방어 관통 증가 / 정찰. 정찰 활성화 시, 회피 / 적중 / 행동력 증가",
풀 웨폰 어썰트 (치명타 피해),
대 장갑 블레이드 (보호기),
대 장갑 블레이드 (방어력 감소),
풀 웨폰 어썰트 (과부하),
역공 (회피),
역공 (반격),
쐐기대형 (중열),
쐐기대형 (후열),
우회 공격 (정찰),
우회 공격 (정찰 부가 효과),
포식,
"지정 범위에 {0} 보호 무시 피해를 주고, 2라운드 동안 이동 불가 / 받는 피해 증가 / 행동력 / 방어력 감소 상태로 만듭니다. 기동형에게는 효과가 50% 감소합니다. 공격 시, 자신의 방어력이 최대 3회까지 증가합니다.",
지정 범위 {0} 보호 무시 피해. 이동 불가 / 받는 피해 증가 / 행동력 / 방어력 감소. 자신 방어력 증가,
뱀의 포옹,
3라운드 동안 자신과 주변 아군에게 방어막 / 받는 피해 감소 / 전기 / 효과 저항 증가 효과를 줍니다. <포식>의 방어력 중첩을 1 사용합니다.,
자신과 주변 아군 방어막 / 받는 피해 감소 / 전기 저항 / 효과 저항 증가 부여,
부정형 합금 비늘,
"라운드 개시 시, 방어력 / 전기 저항 / 효과 저항이 증가하며, 열 보호 효과가 활성화됩니다.",
방어력 / 전기 저항 / 효과 저항 증가 / 열 보호,
여왕의 존재감,
"라운드 개시 시, 범위 내의 경장 / 기동형 아군들의 공격력 / 적중 / 행동력을 증가시키며 대상들을 지정 보호합니다.",
범위 내 경장 / 기동형 아군 공격력 / 적중 / 행동력 증가 / 지정 대상 보호,
욕망의 늪,
"전투 개시 시, 범위 내 경장형 / 중장형 적을 2라운드 동안 행동력 감소 / 이동 불가 / 받는 피해 증가 상태로 만듭니다. 대상이 중장형일 경우, 효과가 50% 증가합니다. 스킬 레벨 10에서 범위가 증가합니다.",
"전투 개시 시, 범위 내 경장 / 중장형 적 이동 불가 / 행동력 감소 / 받는 피해 증가",
포식 (기동 AP),
포식 (기본 효과),
포식 (기동 효과),
포식 (방어력 증가),
뱀의 포옹 (피감),
뱀의 포옹 (효과 저항),
뱀의 포옹 (전기 저항),
욕망의 늪 (중장),
대 장갑 블레이드 (대 경장),
뒷정리 (공격력),
뒷정리 (적중),
앞장서시죠,
"라운드 개시 시, 바로 앞에 배치된 아군에게 행 보호 / 공격력 / 적중 / 행동력 증가 효과를 주고 대상의 공격을 지원합니다.",
자신 앞의 아군 행 보호 / 공격 지원 / 공격력 / 적중 / 행동력 증가,
분쇄 강타 (피해량),
분쇄 강타 (행불),
작업용 앵커 (피해 증폭),
잔해 재활용 (드론),
보급 개시 (드론 공중),
잔해 재활용,
"적이 처치되면 적의 잔해를 수거해 아군의 공격력 / 방어력 / 전투 경험치를 증가시킵니다. 스쿼드 내에 드론이 있는 경우, 자신의 행동력이 증가합니다.",
적이 처치되면 아군의 공격력 / 방어력 / 경험치 증가,
스틸라인 포메이션,
"라운드 개시 시, 자신이 받는 피해가 감소합니다. 범위 내에 브라우니 또는 레프리콘의 패시브 효과를 받는 보호기 외의 대상을 지정 보호합니다.",
받는 피해 감소. 브라우니 / 레프리콘 패시브 효과를 받는 대상 지정 보호 (보호기 제외),
스틸라인 포메이션 (보호),
화기 불법 개조,
"라운드 개시 시, 주변 아군의 화기를 개조해 공격력 / 치명타를 증가시키지만 사거리를 감소시킵니다. 사거리 감소 효과는 기타 효과로 분류됩니다. 스킬 레벨 10에서 범위가 증가합니다.",
아군 공격력 / 치명타 증가 / 사거리 감소,
폭격 편대 호위,
"라운드 개시 시, 회피가 증가합니다. 범위 내 메이의 <폭격 편대 지휘>를 받는 보호기 제외 아군을 지정 보호합니다.",
자신 회피 증가. 메이의 <폭격 편대 지휘>를 받는 대상 보호 (보호기 제외),
폭격 편대 호위 (보호),
곡예 비행 (지정 보호),
공격 지휘 전환 (변신 해제 더미),
"행동력 증가 / 정찰 기능. 정찰 시, 모든 공격기 전투 개시 AP 증가",
화기 불법 개조 (사거리),
심판 (HP 피해 증폭),
재림 (아군 보호 더미),
집속 입자포 (피해량),
라이트닝 태클 (피해량),
AGS 전술지휘 (로봇),
전술지휘 (제한 해제),
전술지휘 (방어 OS),
성전 (보호 더미),
뭉게뭉게! (자신 회피),
뭉게뭉게! (자신 피감),
못 지나갈걸? (AP),
손 빌려주기 (공격 AP),
손 빌려주기 (HP% 피해량),
정밀 저격 (방어막 / 피감 무시),
핀 포인트 저격 (후열),
하얀 사신 (회피 감소 해제),
마무리 저격 (피해량),
지옥의 파수꾼 (사거리),
총공격이에요! (공격기),
해충 처리 (소완),
대형 방패 전개 (효과 저항),
전원 돌격! (반격),
제압 사격 (치명타),
유피텔 스트라이크 (강화),
초토화 포격 (행동력 감소),
초토화 포격 (대 경장 중장),
포격 지휘 (자신 버프 더미),
포격 지휘 (자신 AP 버프 더미),
포격 지휘 (중장 공격력),
포격 지휘 (중장 AP),
덤벼덤벼! (처치 공격력),
덤벼덤벼! (피격 시),
새 발명품이에요! (적중 더미),
새 발명품이에요! (행동력 더미),
새 발명품이에요! (피감 더미),
실험 대상 모집해요! (50% 해제),
분석했어요! (정찰),
풀 웨폰 어썰트 (대 중장),
십자일반,
십자중폭발,
